Statistics for Astar Search Algorithm
City		Time		Space
31		964		28022
28		686		17870
30		19		509
8		13		77
43		9		333
7		49		259
17		1		1
29		51		1355
23		424		8940
43		7		250
13		26		280
44		82		3407
31		937		27212
12		69		701
14		1		1
33		61		1865
43		1600		65678
10		85		700
45		33		1380
23		510		10758
44		1810		76106
46		634		27927
32		57		1685
28		55		1409
42		1439		57632
32		765		22988
33		54		1648
25		41		939
14		28		329
48		34		1522
48		2307		106222
17		35		515
16		33		453
19		294		5025
20		35		617
27		175		4381
44		1376		57856
37		75		2595
7		36		190
16		26		355
3		1		1
17		230		3467
18		2		18
30		403		11307
15		31		395
20		25		436
41		1084		42333
20		29		509
10		21		174
15		112		1471
50		98		4661
13		26		280
16		1		1
35		817		27003
14		147		1780
6		11		45
35		1188		39271
39		1054		39054
11		1		1
26		383		9204
41		83		3203
41		1444		56390
20		298		5388
16		1		1
48		24		1062
38		949		34206
16		246		3466
8		1		1
27		406		10172
18		18		277
19		41		689
14		5		52
49		2404		113090
30		839		23545
34		25		773
7		15		75
30		410		11511
48		2003		92204
43		1348		55334
22		172		3459
10		83		684
42		581		23256
13		27		291
15		117		1528
46		1084		47746
32		57		1685
50		93		4421
2		7		8
33		12		345
8		59		371
18		278		4469
45		920		39596
9		14		96
20		1		1
7		1		1
13		91		1010
33		1		1
24		1		1
47		1614		72702
28		505		13167
