Statistics for Iterative Deepening Search Algorithm
City		Time		Space
31		1578		33
28		996		30
30		1219		32
8		100		10
43		2562		45
7		98		9
17		1		1
29		1390		31
23		946		25
43		2210		45
13		248		15
44		2575		46
31		1066		33
12		296		14
14		1		1
33		1200		35
43		1990		45
10		197		12
45		4104		47
23		802		25
44		2530		46
46		3488		48
32		2056		34
28		1083		30
42		2977		44
32		1594		34
33		1540		35
25		686		27
14		415		16
48		4175		50
48		3979		50
17		352		19
16		350		18
19		590		21
20		745		22
27		1466		29
44		2350		46
37		1644		39
7		90		9
16		384		18
3		1		1
17		496		19
18		8		19
30		1033		32
15		394		17
20		724		22
41		2110		43
20		619		22
10		131		12
15		346		17
50		3529		52
13		318		15
16		1		1
35		2134		37
14		355		16
6		73		8
35		2170		37
39		2930		41
11		1		1
26		901		28
41		2320		43
41		2614		43
20		640		22
16		1		1
48		3538		50
38		2584		40
16		503		18
8		1		1
27		822		29
18		656		20
19		410		21
14		310		16
49		3710		51
30		1746		32
34		1900		36
7		82		9
30		1653		32
48		3979		50
43		2650		45
22		700		24
10		164		12
42		2848		44
13		234		15
15		314		17
46		4240		48
32		1429		34
50		3937		52
2		19		4
33		1574		35
8		91		10
18		371		20
45		3736		47
9		120		11
20		1		1
7		1		1
13		346		15
33		1		1
24		1		1
47		3274		49
28		1344		30
